temperature,temp_mean,temp_max,temp_min,temp_std,temp_rise_rate,temp_peak_gradient,temp_trend,vib_magnitude,vib_rms,vib_peak,vib_std,vib_kurtosis,vib_crest_factor,fft_peak_freq,fft_peak_amp,fft_energy,fft_band_energy_100_500Hz,v_load,v_load_mean,v_load_max,v_load_min,v_load_std,max_dv_dt,v_load_overshoot,I_load,i_load_mean,i-load_rms,i_load_peak,i_load_std,max_di_dt,p_instantaneous,p_mean,p_peak,p_std,timestamp,Duty Cycle,Switching_frequency,DC_Supply_voltage,DC-Supply_current,HealthState,FaultType
20.190295819769265,20.20772543280621,20.32540922015471,20.055187846543188,0.044115240278540205,0.0540435623883368,2025.78518415259,0.0001102738991632643,0.002534205559995506,0.004330335356539316,0.010742917102452454,0.004330345356539316,2.67163041606402,2.480845340944787,233.0,0.2285248192799379,0.009343996115019347,1.3541002876207648,-46.06,-45.7946,-44.28,-47.08,0.3969232167560875,402.4999999999999,1.5146000000000015,-1.07,-0.48763999999999996,1.5286762901281619,15.57,1.4488127658189653,784.0000000000001,49.284200000000006,46.503043000000005,717.1542000000001,52.33862583291398,1775136794.415595,0.6,10,2.5,0.05,Healthy,None
20.22407366104401,20.211373405067338,20.392967955736413,20.088964331089574,0.04118450933678076,-0.020266840454012707,2032.5409220154702,-3.4826308578218447e-05,0.002426361135674293,0.004148626403530346,0.013759747876238348,0.004148636403530346,2.9620378980706668,3.3166916880277286,8.0,0.19310059144217784,0.008572510443085015,1.3183470563157353,-45.9,-45.80664,-43.69,-47.24,0.41769403922009696,605.0000000000005,2.116640000000004,0.87,-0.47628,1.33856759261533,10.09,1.2509678499465924,588.0000000000001,39.933,45.344383400000005,476.65160000000003,41.55404732174791,1775136833.606383,0.6,10,2.5,0.05,Healthy,None
20.190295819769265,20.178541489874274,20.29163036122622,20.021411701154015,0.043347232156262794,-0.03715464177025933,2019.029581976927,-0.0001229484958281669,0.0018912019918160272,0.004250348366613047,0.013792082167747965,0.004250358366613047,2.757263034904609,3.2449221872880245,29.0,0.24454943779150623,0.009002302549020973,1.356195912756807,-45.52,-45.770039999999995,-44.45,-47.56,0.38788142311794205,442.5000000000008,1.3200399999999917,0.17,-0.51412,1.7275586241861662,10.81,1.649284519299202,625.5,7.738400000000001,51.932836200000004,485.6933,59.81302333550771,1775136872.7604156,0.6,10,2.5,0.05,Healthy,None
20.190295819769265,20.135779337758876,20.22407366104401,20.021411701154015,0.040036958246993916,0.03377689155847474,2019.0295819769265,6.00125862979742e-05,0.002145984516067845,0.004001498893386718,0.010354696058524793,0.004001508893386718,2.9573703715925963,2.587697874578754,1.0,0.21565624936220262,0.007989808868340612,1.193893886536856,-45.9,-45.790040000000005,-44.34,-47.4,0.422575908447228,605.0000000000005,1.4500400000000013,-1.07,-0.5580600000000001,1.8262620293922776,12.78,1.7389082886684968,663.5,49.113,51.0660852,605.7719999999999,66.72788227816811,1775136911.8362005,0.6,10,2.5,0.05,Healthy,None
20.22407366104401,20.13510379585836,20.257851841525905,20.021411701154015,0.04008029869607951,0.027022103416817118,2022.4073661044004,4.220293090205261e-06,-0.0012376580533013382,0.004104751687984941,0.014734459150922863,0.004104761687984941,3.1485162985261606,3.589601606848977,109.0,0.2566782822448218,0.00842176157617959,1.3745399235350029,-46.43,-45.81886,-44.5,-48.1,0.3946782238735752,885.0000000000016,1.3188600000000008,-0.26,-0.48519999999999996,1.6919699760929567,11.76,1.6209081898738127,615.4999999999999,12.0718,47.7146712,552.3672,61.42990373915924,1775136951.0075407,0.6,10,2.5,0.05,Healthy,None
20.29163036122622,20.171583330550988,20.32540922015471,20.055187846543188,0.04408044985548199,0.04053323994503989,2017.3407068730592,0.0001529253364246575,-0.0017247319992625965,0.004270571789592188,0.01753745903123405,0.004270581789592188,3.3038056035802597,4.106573739899911,137.0,0.2236826319485549,0.009099674246782846,1.3531772124492623,-45.95,-45.802879999999995,-43.96,-47.94,0.46375780920648657,590.0000000000016,1.8428799999999939,-1.55,-0.6349199999999999,1.9812573785351564,17.88,1.8767678049242,1052.5,71.22250000000001,52.146451,857.1671999999999,75.40999629274502,1775136990.1060433,0.6,10,2.5,0.05,Healthy,None
20.257851841525905,20.19428179702625,20.29163036122622,20.088964331089574,0.03755373472823965,-0.010133250622224296,2025.7851841525892,-1.701599252480676e-05,0.0026761446224414787,0.004524948922706129,0.04219403385575449,0.004524958922706129,18.081531296644833,9.324733014486805,216.0,0.2504148805551296,0.010234136815292215,1.4461827895973953,-46.7,-45.818020000000004,-44.34,-47.78,0.4012748180486784,685.0000000000005,1.4780200000000008,-2.03,-0.4994,1.8185130189250778,13.87,1.7485963628007466,663.5,94.801,49.536842799999995,623.1791,67.65795340037214,1775137029.2543669,0.6,10,2.5,0.05,Healthy,None
20.22407366104401,20.17050243555887,20.32540922015471,20.055187846543188,0.04286684363664272,0.010133318462680108,2020.7184740406635,-8.058499618406631e-05,0.006737298834783134,0.0043614152308269075,0.026154555041728367,0.004361425230826908,5.110084557649271,5.99679087855636,117.0,0.2558439953855609,0.009487905408111499,1.5002505863394546,-46.22,-45.773019999999995,-44.28,-47.67,0.4112618139336548,632.5000000000002,1.4930199999999942,0.22,-0.39798,1.349263873376887,8.69,1.2892342376775447,647.5000000000001,10.1684,42.744542,410.5156,44.80801915486955,1775137068.4375613,0.6,10,2.5,0.05,Healthy,None
20.32540922015471,20.24278739175835,20.42674783241027,20.055187846543188,0.06666465214501895,0.09120227462099684,2035.9188418321157,0.00035100409267112043,0.006280375466194865,0.004331061042815635,0.022020351287630024,0.004331071042815636,4.057823680724156,5.084273859732064,217.0,0.23267676978131982,0.009373306129075302,1.3550584843302187,-45.68,-45.79681999999999,-44.61,-47.35,0.4054711920716441,644.9999999999995,1.1868199999999902,-0.53,-0.44792000000000004,1.572501955483681,11.17,1.5073586413325795,728.0,24.2104,45.9353862,505.4425,55.42799707829925,1775137107.5943108,0.6,10,2.5,0.05,Healthy,None
20.32540922015471,20.320883102737128,20.42674783241027,20.22407366104401,0.04256750088618084,-0.016889497311836747,2032.5409389773674,-5.888771172624737e-05,-0.0004920979859921459,0.004774259225483091,0.05596291292895983,0.004774269225483091,39.57693730729471,11.721775686685778,240.0,0.24769728620127895,0.011351555685253941,1.5637265569023633,-45.57,-45.7707,-44.39,-47.51,0.407101105378013,605.0000000000005,1.3806999999999974,-0.1,-0.34836,1.4981748896574125,12.26,1.4571112896412546,1082.5,4.557,46.271709,546.9186,49.99209515137988,1775137146.720191,0.6,10,2.5,0.05,Healthy,None
